model_name,threshold,single_evaluation_metric,train_distribution,test_distribution,train_win_rate,test_win_rate
V1,"[0, 0.45, 1]",2.6204431835974518,"[41.97844007609385, 58.02155992390615]","[42.78481012658228, 57.21518987341773]","[66.61631419939576, 72.45901639344262]","[62.721893491124256, 77.43362831858407]"
V1,"[0, 0.5, 1]",2.5621178338469814,"[42.549143944197844, 57.450856055802156]","[43.037974683544306, 56.9620253164557]","[67.06408345752608, 72.18543046357617]","[62.94117647058823, 77.33333333333333]"
V1,"[0, 0.55, 1]",2.408966150439918,"[43.18325935320228, 56.81674064679771]","[43.54430379746835, 56.45569620253165]","[67.25403817914831, 72.09821428571429]","[63.372093023255815, 77.13004484304933]"
V1,"[0, 0.6, 1]",2.2284902725204567,"[44.13443246670894, 55.86556753329106]","[44.55696202531645, 55.44303797468354]","[66.95402298850574, 72.41770715096482]","[63.63636363636363, 77.1689497716895]"
V1,"[0, 0.65, 1]",2.229437787133012,"[44.89537095751427, 55.10462904248573]","[44.55696202531645, 55.44303797468354]","[67.09039548022598, 72.38204833141542]","[63.63636363636363, 77.1689497716895]"
V1,"[0, 0.7, 1]",2.3712908444845393,"[45.719720989220036, 54.280279010779964]","[44.81012658227848, 55.18987341772152]","[66.99029126213593, 72.54672897196261]","[63.84180790960452, 77.06422018348624]"
V1,"[0, 0.75, 1]",2.4143334570498904,"[46.480659480025366, 53.519340519974634]","[46.07594936708861, 53.92405063291139]","[67.39427012278308, 72.27488151658767]","[63.73626373626373, 77.46478873239437]"
V1,"[0, 0.8, 1]",1.861081009268272,"[47.24159797083069, 52.758402029169304]","[47.34177215189874, 52.65822784810127]","[67.38255033557047, 72.35576923076923]","[64.70588235294117, 76.92307692307693]"
V1,"[0, 0.85, 1]",2.3365519584147556,"[52.885225110970204, 47.1147748890298]","[53.417721518987335, 46.58227848101266]","[69.06474820143885, 71.06325706594886]","[66.35071090047393, 76.63043478260869]"
V1,"[0, 0.9, 1]",1.9545868546357497,"[54.533925174381736, 45.466074825618264]","[54.936708860759495, 45.063291139240505]","[68.83720930232559, 71.40864714086472]","[66.82027649769586, 76.40449438202246]"
V2,"[0, 0.45, 1]",0.5677023312784026,"[64.61636017755231, 35.38363982244769]","[64.55696202531645, 35.44303797468354]","[68.69479882237488, 72.40143369175627]","[70.58823529411765, 72.14285714285714]"
V2,"[0, 0.5, 1]",1.1727406013580453,"[66.01141407736209, 33.988585922637924]","[65.31645569620254, 34.68354430379747]","[68.29971181556196, 73.32089552238806]","[70.54263565891473, 72.26277372262774]"
V2,"[0, 0.55, 1]",0.6177555098075498,"[67.59670259987318, 32.403297400126824]","[67.59493670886076, 32.40506329113924]","[68.10506566604127, 73.97260273972603]","[70.0374531835206, 73.4375]"
V2,"[0, 0.6, 1]",0.7754772622165476,"[69.94292961318959, 30.0570703868104]","[69.87341772151898, 30.126582278481013]","[68.26835902085222, 74.0506329113924]","[70.28985507246377, 73.10924369747899]"
V2,"[0, 0.65, 1]",1.5489765259784107,"[72.85986049461002, 27.140139505389982]","[71.89873417721519, 28.10126582278481]","[68.49434290687554, 74.06542056074767]","[70.77464788732394, 72.07207207207207]"
V2,"[0, 0.7, 1]",0.7878154905711074,"[75.45973367152821, 24.540266328471784]","[75.44303797468355, 24.556962025316455]","[68.90756302521008, 73.38501291989664]","[70.80536912751678, 72.16494845360825]"
V2,"[0, 0.75, 1]",1.5195355431283986,"[80.40583386176284, 19.59416613823716]","[79.24050632911393, 20.759493670886076]","[68.76971608832808, 75.08090614886731]","[70.6070287539936, 73.17073170731707]"
V2,"[0, 0.8, 1]",2.794391904549675,"[89.1566265060241, 10.843373493975903]","[87.84810126582279, 12.151898734177214]","[69.63015647226175, 73.09941520467837]","[71.75792507204612, 66.66666666666666]"
V2,"[0, 0.85, 1]",4.149581109327831,"[93.7856689917565, 6.214331008243501]","[93.16455696202532, 6.8354430379746836]","[69.84448951994591, 72.44897959183673]","[72.01086956521739, 59.25925925925925]"
V2,"[0, 0.9, 1]",5.3651612517435465,"[96.63918833227648, 3.3608116677235254]","[96.9620253164557, 3.0379746835443036]","[69.750656167979, 77.35849056603774]","[71.54046997389034, 58.333333333333336]"
