model_name,threshold,single_evaluation_metric,train_distribution,test_distribution,train_win_rate,test_win_rate
V1,"[0, 0.4, 0.45, 1]",4.48566637177954,"[41.217501585288524, 0.7609384908053266, 58.02155992390615]","[42.025316455696206, 0.7594936708860759, 57.21518987341773]","[66.3076923076923, 83.33333333333334, 72.45901639344262]","[62.65060240963856, 66.66666666666666, 77.43362831858407]"
V1,"[0, 0.45, 0.5, 1]",1.7758439465009201,"[41.97844007609385, 0.570703868103995, 57.450856055802156]","[42.78481012658228, 0.25316455696202533, 56.9620253164557]","[66.61631419939576, 100.0, 72.18543046357617]","[62.721893491124256, 100.0, 77.33333333333333]"
V1,"[0, 0.5, 0.55, 1]",5.022066503827634,"[42.549143944197844, 0.6341154090044389, 56.81674064679771]","[43.037974683544306, 0.5063291139240507, 56.45569620253165]","[67.06408345752608, 80.0, 72.09821428571429]","[62.94117647058823, 100.0, 77.13004484304933]"
V1,"[0, 0.55, 0.6, 1]",5.190818926749813,"[43.18325935320228, 0.9511731135066582, 55.86556753329106]","[43.54430379746835, 1.0126582278481013, 55.44303797468354]","[67.25403817914831, 53.333333333333336, 72.41770715096482]","[63.372093023255815, 75.0, 77.1689497716895]"
V1,"[0, 0.6, 0.65, 1]",14.104406295671138,"[44.13443246670894, 0.7609384908053266, 55.10462904248573]","[44.55696202531645, 0, 55.44303797468354]","[66.95402298850574, 75.0, 72.38204833141542]","[63.63636363636363, 0, 77.1689497716895]"
V1,"[0, 0.65, 0.7, 1]",8.04204172180126,"[44.89537095751427, 0.8243500317057704, 54.280279010779964]","[44.55696202531645, 0.25316455696202533, 55.18987341772152]","[67.09039548022598, 61.53846153846154, 72.54672897196261]","[63.63636363636363, 100.0, 77.06422018348624]"
V1,"[0, 0.7, 0.75, 1]",6.970707674814646,"[45.719720989220036, 0.7609384908053266, 53.519340519974634]","[44.81012658227848, 1.2658227848101267, 53.92405063291139]","[66.99029126213593, 91.66666666666666, 72.27488151658767]","[63.84180790960452, 60.0, 77.46478873239437]"
V1,"[0, 0.75, 0.8, 1]",7.094736000028332,"[46.480659480025366, 0.7609384908053266, 52.758402029169304]","[46.07594936708861, 1.2658227848101267, 52.65822784810127]","[67.39427012278308, 66.66666666666666, 72.35576923076923]","[63.73626373626373, 100.0, 76.92307692307693]"
V1,"[0, 0.8, 0.85, 1]",2.214706544064518,"[47.24159797083069, 5.643627140139505, 47.1147748890298]","[47.34177215189874, 6.075949367088607, 46.58227848101266]","[67.38255033557047, 83.14606741573034, 71.06325706594886]","[64.70588235294117, 79.16666666666666, 76.63043478260869]"
V1,"[0, 0.85, 0.9, 1]",5.094958192171458,"[52.885225110970204, 1.6487000634115407, 45.466074825618264]","[53.417721518987335, 1.5189873417721518, 45.063291139240505]","[69.06474820143885, 61.53846153846154, 71.40864714086472]","[66.35071090047393, 83.33333333333334, 76.40449438202246]"
